ref_no,t_start_n,t_duration_n,t_start_sec,t_duration_sec,noise,f_lowcut,f_highcut,f_order,max_corr,max_corr_n,max_corr_t,correct_corr,result
1,44885,24000,112.2125,44885,0.06783660214262285,,,,0.9829837149907624,44885,112.2125,0.9829837149907624,True
1,44885,24000,112.2125,44885,0.06783660214262285,48,52,6,0.9829837149907624,44885,112.2125,0.9829837149907624,True
2,903,34800,2.2575,903,0.021994441470576574,,,,0.9981355113621507,903,2.2575,0.9981355113621507,True
2,903,34800,2.2575,903,0.021994441470576574,48,52,6,0.9981355113621507,903,2.2575,0.9981355113621507,True
3,210158,33600,525.395,210158,0.11890902659908306,,,,0.9501042895630689,210158,525.395,0.9501042895630689,True
3,210158,33600,525.395,210158,0.11890902659908306,48,52,6,0.9501042895630689,210158,525.395,0.9501042895630689,True
4,87184,31200,217.96,87184,0.23446043577590872,,,,0.8429000074804653,87176,217.94,0.8428967704806567,False
4,87184,31200,217.96,87184,0.23446043577590872,48,52,6,0.8429000074804653,87176,217.94,0.8428967704806567,False
5,94563,12400,236.4075,94563,0.21956620786221723,,,,0.8557573339332446,94563,236.4075,0.8557573339332446,True
5,94563,12400,236.4075,94563,0.21956620786221723,48,52,6,0.8557573339332446,94563,236.4075,0.8557573339332446,True
6,202591,16800,506.4775,202591,0.18070353400911424,,,,0.8962753896501027,202575,506.4375,0.8962567556388856,False
6,202591,16800,506.4775,202591,0.18070353400911424,48,52,6,0.8962753896501027,202575,506.4375,0.8962567556388856,False
7,94244,26400,235.61,94244,0.15509180863768832,,,,0.9199756915027392,94244,235.61,0.9199756915027392,True
7,94244,26400,235.61,94244,0.15509180863768832,48,52,6,0.9199756915027392,94244,235.61,0.9199756915027392,True
8,4823,31200,12.057500000000001,4823,0.15080440687504104,,,,0.9250742701028714,4815,12.0375,0.9250711120030981,False
8,4823,31200,12.057500000000001,4823,0.15080440687504104,48,52,6,0.9250742701028714,4815,12.0375,0.9250711120030981,False
9,199522,14800,498.805,199522,0.16888609323566683,,,,0.9100117712967559,199522,498.805,0.9100117712967559,True
9,199522,14800,498.805,199522,0.16888609323566683,48,52,6,0.9100117712967559,199522,498.805,0.9100117712967559,True
10,98157,17200,245.3925,98157,0.013008013625688247,,,,0.9993754715068898,98157,245.3925,0.9993754715068898,True
10,98157,17200,245.3925,98157,0.013008013625688247,48,52,6,0.9993754715068898,98157,245.3925,0.9993754715068898,True
